# log(eps) FAR FRR
19.0 0.4996875 0.0
18.0 0.4999921875 0.0
17.0 0.49999980468749994 0.0
16.0 0.49999999511718746 0.0
15.0 0.4984374998779296 0.0
14.0 0.49839843749694823 0.0
13.0 0.49683496093742374 0.0
12.0 0.4967958740234356 0.0
11.0 0.49679489685058587 0.0
10.0 0.4967948724212647 0.0
9.0 0.49471153847719834 0.0
8.0 0.47174278846192996 0.0
7.0 0.42685038789336643 0.0
6.0 0.3876598960609705 0.0
5.0 0.32081839134091816 0.00625
4.0 0.24703561129867452 0.010572916666666666
3.0 0.12492589028246688 0.014847656249999999
2.9 0.11130208333333332 0.021197916666666667
2.8 0.10330338541666666 0.025529947916666667
2.6999999999999997 0.08852008463541668 0.029804915364583334
2.5999999999999996 0.07252550211588542 0.038245122884114593
2.4999999999999996 0.06795897088623047 0.03845612807210287
2.3999999999999995 0.051178140938822426 0.04054473653513591
2.2999999999999994 0.040341953523470565 0.042680285080045066
2.1999999999999993 0.031737715504753426 0.046900340460334464
2.099999999999999 0.025793442887618832 0.04908917517817503
1.9999999999999991 0.013144836072190472 0.05122722937945438
1.899999999999999 0.006578620901804761 0.05336401406781969
1.799999999999999 0.006414465522545118 0.06591743368502882
1.6999999999999988 0.004327028304730295 0.07664793584212572
1.5999999999999988 0.0021915090409515905 0.08941619839605314
1.4999999999999987 5.478772602378976E-5 0.10848540495990133
1.3999999999999986 1.369693150594744E-6 0.14854546845733088
1.2999999999999985 3.42423287648686E-8 0.19538030337809995
1.1999999999999984 8.560582191217151E-10 0.2715511742511191
1.0999999999999983 2.1401455478042877E-11 0.35887211268961133
0.9999999999999983 5.350363869510719E-13 0.44647180281724025
0.8999999999999984 1.3375909673776798E-14 0.48407846173709757
0.7999999999999984 3.3439774184441994E-16 0.5079352948767608
0.6999999999999984 8.359943546110498E-18 0.512698382371919
0.5999999999999984 2.0899858865276247E-19 0.512817459559298
0.49999999999999845 5.224964716319062E-21 0.5128204364889825
0.39999999999999847 1.3062411790797653E-22 0.5128205109122246
0.2999999999999985 3.2656029476994134E-24 0.5128205127728056
0.19999999999999848 8.164007369248533E-26 0.5128205128193202
0.09999999999999848 2.0410018423121334E-27 0.512820512820483
